algorithm,tp,fp,fn,tn,precision,recall,accuracy,specificity,f1,iterations,duration_ms
AccuCopy_FF,2914.0,542.0,67.0,472.0,0.8432,0.9775,0.8476,0.4655,0.9054,3.0,23.0
AccuCopy_FT,2914.0,542.0,67.0,472.0,0.8432,0.9775,0.8476,0.4655,0.9054,4.0,26.0
AccuCopy_TF,2859.0,597.0,122.0,417.0,0.8273,0.9591,0.82,0.4112,0.8883,2.0,27.0
AccuCopy_TT,2914.0,542.0,67.0,472.0,0.8432,0.9775,0.8476,0.4655,0.9054,3.0,38.0
GuessLCA,2914.0,542.0,67.0,472.0,0.8432,0.9775,0.8476,0.4655,0.9054,5.0,25.0
LTM,691.0,405.0,2290.0,609.0,0.6317,0.232,0.3255,0.6005,0.3393,500.0,419.0
SimpleLCA,2914.0,542.0,67.0,472.0,0.8432,0.9775,0.8476,0.4655,0.9054,3.0,17.0
ThreeEstimate,2914.0,542.0,67.0,472.0,0.8432,0.9775,0.8476,0.4655,0.9054,100.0,556.0
TruthFinder,2684.0,772.0,297.0,242.0,0.7766,0.9004,0.7324,0.2387,0.8339,2.0,27.0
TwoEstimates,2687.0,769.0,294.0,245.0,0.7775,0.9014,0.7339,0.2416,0.8349,3.0,22.0
Voting,2914.0,542.0,67.0,472.0,0.8432,0.9775,0.8476,0.4655,0.9054,1.0,12.0
